file,template_id,name,family,cwe_matches,confidence_score
http/exposures/configs/exposed-bitkeeper.yaml,exposed-bitkeeper,BitKeeper Configuration - Detect,exposure,CWE-219;CWE-552,7
http/exposures/configs/exposed-bzr.yaml,exposed-bzr,Bazaar Configuration - Detect,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/configs/exposed-darcs.yaml,exposed-darcs,Darcs Configuration - Detect,exposure,CWE-219;CWE-538;CWE-552,7
http/exposures/configs/exposed-filezilla-config.yaml,exposed-filezilla-config,Exposed FileZilla Configuration File - Exposure,exposure,CWE-260;CWE-538;CWE-552,7
http/exposures/configs/exposed-gitignore.yaml,exposed-gitignore,Gitignore Config - Detect,exposure,CWE-219;CWE-538,7
http/exposures/configs/exposed-gitmodules.yaml,exposed-gitmodules,.gitmodules File Exposed,exposure,CWE-219;CWE-552,7
http/exposures/configs/exposed-hg.yaml,exposed-hg,HG Configuration - Detect,exposure,CWE-219;CWE-552,7
http/exposures/configs/exposed-svn.yaml,exposed-svn,SVN Configuration - Detect,exposure,CWE-219;CWE-552,7
http/exposures/configs/fastcgi-config.yaml,fastcgi-config,FastCGI Configuration - File Disclosure,exposure,CWE-201;CWE-219;CWE-552,7
http/exposures/configs/firebase-config-exposure.yaml,firebase-config-exposure,Firebase Configuration File - Detect,exposure,CWE-219;CWE-538;CWE-540,7
http/exposures/configs/flow-config-exposure.yaml,flow-config-exposure,Flow Configuration - Exposure,exposure,CWE-219;CWE-538,7
http/exposures/configs/ftp-credentials-exposure.yaml,ftp-credentials-exposure,FTP Credentials Exposure,exposure,CWE-260;CWE-538;CWE-552,7
http/exposures/configs/gcloud-config-default.yaml,gcloud-config-default,Google Cloud Default Config - Detect,exposure,CWE-219;CWE-312;CWE-552,7
http/exposures/configs/git-config.yaml,git-config,Git Configuration - Detect,exposure,CWE-260;CWE-552,7
http/exposures/configs/git-credentials-disclosure.yaml,git-credentials-disclosure,Git Credentials - Detect,exposure,CWE-260;CWE-538,7
http/exposures/configs/github-workflows-disclosure.yaml,github-workflows-disclosure,Github Workflow Disclosure,exposure,CWE-219;CWE-312,7
